"BasinName","Mosaic","MosaicDateStart","MosaicDateEnd","ObservedArea","ObservedAreaWater","PercentObserved","PercentWater","EstimatedAreaWater","Threshold"
"American","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",2101717800,36213300,99.9997121106087,1.72303341580873,36213404.2545491,0.07897201
"Butte","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",1885176000,98334900,76.6531690499408,5.21621853874652,128285498.458561,0.07897201
"Colusa","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",3606987600,88560000,77.6074004617595,2.45523439004891,114112828.767712,0.07897201
"Delta","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",6824333700,289719900,99.9994563928148,4.24539468226766,289721474.946755,0.07897201
"San Joaquin","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",11516514300,217586250,99.9994527688372,1.88934120456916,217587440.706282,0.07897201
"Suisun","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",615664800,145200600,99.997800947485,23.5843595411009,145203793.107664,0.07897201
"Sutter","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",960425100,37339200,99.9992027333572,3.88777844310816,37339497.6953597,0.07897201
"Tulare","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",22360841100,138871350,82.9015833748485,0.621047076802491,167513507.398379,0.07897201
"Yolo","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",2055855600,40384800,99.9985770628183,1.96437921029084,40385374.658512,0.07897201
"American","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Butte","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Colusa","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Delta","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",4026227400,63827100,58.9977819100282,1.58528303691938,108185592.633527,0.07897201
"San Joaquin","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",11516514300,218463750,99.9994527688372,1.89696069756107,218464945.508262,0.07897201
"Suisun","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Sutter","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Tulare","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",22291222500,228741300,82.6434762604278,1.02614964253306,276780830.563305,0.07897201
"Yolo","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"American","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Butte","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Colusa","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Delta","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",4252925700,109917000,62.3196749712036,2.58450318095141,176376080.348285,0.07897201
"San Joaquin","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",11500202700,359968950,99.8578169377781,3.13010961102451,360481493.626381,0.07897201
"Suisun","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Sutter","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Tulare","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",22175094600,222642000,82.2129384849952,1.00401826470675,270811388.21067,0.07897201
"Yolo","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"American","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Butte","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Colusa","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Delta","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",4252925700,109917000,62.3196749712036,2.58450318095141,176376080.348285,0.07897201
"San Joaquin","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",11500175700,359950950,99.8575824931228,3.12996044051744,360464314.289593,0.07897201
"Suisun","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Sutter","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Tulare","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",22449749400,271270350,83.2312059866368,1.20834466864917,325923848.854904,0.07897201
"Yolo","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"American","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Butte","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Colusa","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Delta","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",15480000,169200,0.22683409883089,1.09302325581395,74591959.8826023,0.07897201
"San Joaquin","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",5888635200,293223600,51.1318166431063,4.97948319162308,573466032.014204,0.07897201
"Suisun","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Sutter","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Tulare","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",22461355800,284626800,83.274236073608,1.26718441457572,341794549.455142,0.07897201
"Yolo","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"American","L8_valley_20130527to20130604_water.tif","2013-05-27","2013-06-04",2101717800,306813600,99.9997121106087,14.598230076369,306814483.286348,0.07897201
"Butte","L8_valley_20130527to20130604_water.tif","2013-05-27","2013-06-04",1873557900,510293700,76.1807653150433,27.2366122231931,669845856.614456,0.07897201
"Colusa","L8_valley_20130527to20130604_water.tif","2013-05-27","2013-06-04",3606172200,584857800,77.589856438504,16.218243820969,753781263.229357,0.07897201
"Delta","L8_valley_20130527to20130604_water.tif","2013-05-27","2013-06-04",5070807900,262727550,74.3044018308177,5.18117734256902,353582753.546956,0.07897201
"San Joaquin","L8_valley_20130527to20130604_water.tif","2013-05-27","2013-06-04",6265729800,301860900,54.4061801058499,4.81764949391849,554828329.084517,0.07897201
"Suisun","L8_valley_20130527to20130604_water.tif","2013-05-27","2013-06-04",615664800,128584350,99.997800947485,20.8854477306482,128587177.699565,0.07897201
"Sutter","L8_valley_20130527to20130604_water.tif","2013-05-27","2013-06-04",960425100,240111000,99.9992027333572,25.0004919696497,240112914.340171,0.07897201
"Tulare","L8_valley_20130527to20130604_water.tif","2013-05-27","2013-06-04",22430213100,134866350,83.158776233389,0.601270925954778,162179334.651933,0.07897201
"Yolo","L8_valley_20130527to20130604_water.tif","2013-05-27","2013-06-04",2055855600,122562000,99.9985770628183,5.96160547462575,122563744.005085,0.07897201
"American","L8_valley_20130603to20130612_water.tif","2013-06-03","2013-06-12",2101717800,306813600,99.9997121106087,14.598230076369,306814483.286348,0.07897201
"Butte","L8_valley_20130603to20130612_water.tif","2013-06-03","2013-06-12",1873557900,510293700,76.1807653150433,27.2366122231931,669845856.614456,0.07897201
"Colusa","L8_valley_20130603to20130612_water.tif","2013-06-03","2013-06-12",3606172200,584857800,77.589856438504,16.218243820969,753781263.229357,0.07897201
"Delta","L8_valley_20130603to20130612_water.tif","2013-06-03","2013-06-12",6582917700,294828600,96.4618994933731,4.47869187245042,305642540.265605,0.07897201
"San Joaquin","L8_valley_20130603to20130612_water.tif","2013-06-03","2013-06-12",11501593200,179473950,99.8698908375235,1.56042686329751,179707766.269599,0.07897201
"Suisun","L8_valley_20130603to20130612_water.tif","2013-06-03","2013-06-12",615664800,128584350,99.997800947485,20.8854477306482,128587177.699565,0.07897201
"Sutter","L8_valley_20130603to20130612_water.tif","2013-06-03","2013-06-12",960425100,240111000,99.9992027333572,25.0004919696497,240112914.340171,0.07897201
"Tulare","L8_valley_20130603to20130612_water.tif","2013-06-03","2013-06-12",22420766700,113195700,83.1237542271197,0.504869889217482,136177319.049756,0.07897201
"Yolo","L8_valley_20130603to20130612_water.tif","2013-06-03","2013-06-12",2055855600,122562000,99.9985770628183,5.96160547462575,122563744.005085,0.07897201
"American","L8_valley_20130612to20130620_water.tif","2013-06-12","2013-06-20",2101717800,113832900,99.9997121106087,5.41618384732717,113833227.713786,0.07897201
"Butte","L8_valley_20130612to20130620_water.tif","2013-06-12","2013-06-20",1889334900,144506700,76.8222741439807,7.64854870356759,188105209.862916,0.07897201
"Colusa","L8_valley_20130612to20130620_water.tif","2013-06-12","2013-06-20",3607008300,138024900,77.6078458398333,3.82657561392359,177849157.525716,0.07897201
"Delta","L8_valley_20130612to20130620_water.tif","2013-06-12","2013-06-20",6639759000,285964500,97.2948158410395,4.30685059502913,293915454.310751,0.07897201
"San Joaquin","L8_valley_20130612to20130620_water.tif","2013-06-12","2013-06-20",11501705700,177320250,99.8708676902537,1.54168655176075,177549523.801028,0.07897201
"Suisun","L8_valley_20130612to20130620_water.tif","2013-06-12","2013-06-20",613871100,126765000,99.7064637530255,20.6501006481654,127138196.691038,0.07897201
"Sutter","L8_valley_20130612to20130620_water.tif","2013-06-12","2013-06-20",960425100,86177700,99.9992027333572,8.9728704508035,86178387.0715335,0.07897201
"Tulare","L8_valley_20130612to20130620_water.tif","2013-06-12","2013-06-20",22175707500,199056600,82.2152107778943,0.897633592975557,242116511.186421,0.07897201
