zone,sum,prop,landcover
100,7490,0.06,none
103,689,0.01,corn
105,5839,0.04,fieldcrops
107,691,0.01,grains
111,297,0,alfalfa
112,118373,0.88,rice
113,23,0,rowcrops
140,1176,0.01,seas
160,283,0,perm
180,0,0,treat
