DataSource,Name,BasinName,ClassName,Mosaic,MosaicDateStart,MosaicDateEnd,ObservedArea,ObservedAreaWater,PercentObserved,PercentWater,
TNC,Delta Grass/Pasture,Delta,Grass/Pasture,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,2076736500,4616700,99.99778985,0.222305526,
TNC,Delta Corn,Delta,Corn,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,552492900,9774750,100,1.769208256,
TNC,Delta Field Crop,Delta,Field Crop,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,104756400,2306250,100,2.201536135,
TNC,Delta Grains,Delta,Grains,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,246826800,605700,100,0.245394746,
TNC,Delta Alfalfa,Delta,Alfalfa,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,542079000,2333250,100,0.430426192,
TNC,Delta Rice,Delta,Rice,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,23484600,1228050,100,5.229171457,
TNC,Delta Row Crop,Delta,Row Crop,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,57870900,476700,100,0.823730061,
TNC,Delta Wetland,Delta,Wetland,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,46521000,4411800,100,9.483459083,
TNC,Delta Suitable-unassigned,Delta,Suitable-unassigned,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,284409000,3132300,100,1.101336456,
TNC,Delta Vineyard/Orchard,Delta,Vineyard/Orchard,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,1388867400,4015350,100,0.289109673,
TNC,San Joaquin Unsuitable,San Joaquin,Unsuitable,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,1598170500,137007000,100,8.572739892,
TNC,San Joaquin Grass/Pasture,San Joaquin,Grass/Pasture,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,3728095200,27451800,100,0.736349222,
TNC,San Joaquin Corn,San Joaquin,Corn,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,370019700,1916550,100,0.517958909,
TNC,San Joaquin Field Crop,San Joaquin,Field Crop,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,456514200,10227600,100,2.240368427,
TNC,San Joaquin Grains,San Joaquin,Grains,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,284574600,3129300,100,1.099641359,
TNC,San Joaquin Alfalfa,San Joaquin,Alfalfa,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,900882900,2347200,100,0.260544406,
TNC,San Joaquin Rice,San Joaquin,Rice,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,20500200,1805400,100,8.806743349,
TNC,San Joaquin Row Crop,San Joaquin,Row Crop,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,269076600,5922450,100,2.201027514,
TNC,San Joaquin Wetland,San Joaquin,Wetland,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,309544200,14610150,100,4.719891376,
