year,jan_a,jan_b,feb_a,feb_b,mar_a,mar_b,apr_a,aug_b,sep_a,sep_b,oct_a,oct_b
2014,0,0,3891.8147410330107,3891.8147410330107,1906.3228601788996,565.8818265034338,0,0,235.47543981327777,567.6664536063616,324.80056541972033,734.0905589851359
2015,717.1833360628276,717.1833360628276,1643.3730883479857,1307.3532610057628,823.3839194365028,17.709202937824003,0,323.2443994613626,203.05151829991297,394.3199359788754,997.6079050869873,905.4125444499707
2016,0,0,2830.1344156355476,2830.1344156355476,2332.327061212529,633.8564292985249,13.086302018979787,0,0,0,0,0
2017,0,0,1340.1382137645537,1340.1382137645537,721.0785365689889,156.06794317435907,0,272.7252137877016,610.8301709882439,338.1049572005423,394.5817646022541,394.5817646022541
2018,0,0,0,0,0,0,0,0,354.7979122846563,870.5548367648571,515.7569244802007,0
