"Filename","Path","Row","ImageDate","ImageQuality","PercentVisible","ValidationRate","PercentCloudCoverFullImage","PercentCloudCoverValley","CloudMaskedYN","PointsWithData","FalsePositives","FalseNegatives","Satellite","NADIR_OFFNADIR","IMAGE_QUALITY_OLI","IMAGE_QUALITY_TIRS","TIRS_SSM_MODEL","TIRS_SSM_POSITION_STATUS","TIRS_STRAY_LIGHT_CORRECTION_SOURCE"
"L8_p42r35_20130418_water.tif","42","35","2013-04-18","Very Good",97.4,0.985,1.04,0.05,"N",1137,14,14,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20130504_water.tif","42","35","2013-05-04","Very Good",98.72,0.976,2.45,0.17,"N",1137,23,23,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20130520_water.tif","42","35","2013-05-20","Very Good",99.19,0.974,0.57,0.02,"N",1136,25,25,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20130605_water.tif","42","35","2013-06-05","Very Good",99.56,0.979,1.73,0.01,"N",1137,22,22,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20130621_water.tif","42","35","2013-06-21","Very Good",97.47,0.976,0.18,0.33,"N",1137,24,24,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20130707_water.tif","42","35","2013-07-07","Very Good",100,0.982,0.9,0,"N",1139,20,20,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20130723_water.tif","42","35","2013-07-23","Fair",61.18,0.947,19.89,19.17,"Y",360,4,4,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20130808_water.tif","42","35","2013-08-08","Very Good",100,0.983,0.11,0,"N",472,8,8,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20130824_water.tif","42","35","2013-08-24","Good",99.91,0.97,0.16,0,"N",269,8,8,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20130909_water.tif","42","35","2013-09-09","Good",99.02,0.964,0.95,0.02,"N",417,14,14,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20130925_water.tif","42","35","2013-09-25","Good",84.56,0.963,5.86,1.36,"Y",926,13,13,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20131011_water.tif","42","35","2013-10-11","Good",93.22,0.95,1.05,0.28,"N",1128,31,31,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20131027_water.tif","42","35","2013-10-27","Good",94.31,0.96,1,0.13,"N",1137,35,35,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20131112_water.tif","42","35","2013-11-12","Bad",8,0.4,76.92,82.44,"Y",15,9,9,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20131128_water.tif","42","35","2013-11-28","Bad",17.79,0.879,61.65,69.43,"Y",33,1,1,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20131214_water.tif","42","35","2013-12-14","Fair",85.55,0.913,2.52,0.31,"N",1141,29,29,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20131230_water.tif","42","35","2013-12-30","Fair",78.68,0.911,2.21,1.88,"N",1141,25,25,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140115_water.tif","42","35","2014-01-15","Poor",85.18,0.821,1.38,0.42,"N",1141,21,21,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140131_water.tif","42","35","2014-01-31","Poor",32.11,0.919,39.36,38.09,"Y",111,1,1,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140216_water.tif","42","35","2014-02-16","Poor",48.55,0.965,11.58,13.55,"Y",428,4,4,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140304_water.tif","42","35","2014-03-04","Bad",17.23,0.938,83.02,73.62,"Y",129,8,8,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140320_water.tif","42","35","2014-03-20","Poor",46.22,0.941,22.85,28.84,"Y",269,11,11,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140405_water.tif","42","35","2014-04-05","Bad",11.6,0,40.29,45.83,"Y",0,0,0,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140421_water.tif","42","35","2014-04-21","Bad",23.38,0.989,50.02,64.79,"Y",262,2,2,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140507_water.tif","42","35","2014-05-07","Good",86.91,0.987,8.86,1.44,"Y",629,6,6,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140523_water.tif","42","35","2014-05-23","Fair",97.75,0.969,2.4,0.35,"N",382,12,12,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140608_water.tif","42","35","2014-06-08","Good",99.08,0.981,0.45,0.03,"N",206,4,4,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140624_water.tif","42","35","2014-06-24","Very Good",99.98,0.986,0.23,0,"N",220,3,3,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140710_water.tif","42","35","2014-07-10","Good",100,0.966,3.01,0,"N",233,8,8,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140726_water.tif","42","35","2014-07-26","Poor",88.26,0.894,4.82,4.26,"N",396,37,37,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140811_water.tif","42","35","2014-08-11","Good",80.94,0.972,8.04,5.29,"Y",426,10,10,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140827_water.tif","42","35","2014-08-27","Good",100,0.971,0.15,0,"N",244,8,7,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140912_water.tif","42","35","2014-09-12","Good",99.85,0.959,0.21,0,"N",241,11,10,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140928_water.tif","42","35","2014-09-28","Fair",72.76,0.938,27.02,11.86,"Y",601,13,13,"L8","NADIR",9,9,NA,NA,NA
