"sourcefile","property","sitecode","visit","date.surv","trt","perc.flood","avg.depth.in"
"ghg_all_data_bothyearsI2.csv","A & M Farms","N-076",1,2012-12-07,"NBF",100,11
"ghg_all_data_bothyearsI2.csv","A & M Farms","N-076",2,2012-12-18,"NBF",100,7
"ghg_all_data_bothyearsI2.csv","A & M Farms","N-076",3,2013-01-01,"NBF",100,8
"ghg_all_data_bothyearsI2.csv","A & M Farms","N-076",4,2013-01-15,"NBF",100,7.5
"ghg_all_data_bothyearsI2.csv","A & M Farms","N-076",5,2013-01-24,"NBF",100,6.5
"ghg_all_data_bothyearsI2.csv","A & M Farms","N-099",1,2012-12-07,"NBF",100,13
"ghg_all_data_bothyearsI2.csv","A & M Farms","N-099",2,2012-12-18,"NBF",100,9
"ghg_all_data_bothyearsI2.csv","A & M Farms","N-099",3,2013-01-01,"NBF",100,11
"ghg_all_data_bothyearsI2.csv","A & M Farms","N-099",4,2013-01-15,"NBF",100,10
"ghg_all_data_bothyearsI2.csv","A & M Farms","N-099",5,2013-01-24,"NBF",100,9
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",1,2012-01-31,"WEEK1",0,0
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",5,2012-02-13,"WEEK1",0,0
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",6,2012-02-16,"WEEK1",0,0
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",7,2012-02-21,"WEEK1",0,0
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",8,2012-02-24,"WEEK1",0,0
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",9,2012-02-27,"WEEK1",0,0
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",2,2012-02-03,"WEEK1",0,0
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",3,2012-02-06,"WEEK1",0,0
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",4,2012-02-09,"WEEK1",0,0
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",10,2012-03-01,"WEEK1",0,0
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",12,2012-03-08,"WEEK1",0,0
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",3,2013-02-13,"WEEK1",10,0
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",4,2013-02-15,"WEEK1",0,0
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",5,2013-02-20,"WEEK1",0,0
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",6,2013-02-22,"WEEK1",0,0
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",7,2013-02-26,"WEEK1",0,0
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",8,2013-02-28,"WEEK1",0,0
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",1,2013-02-05,"WEEK1",100,2
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",2,2013-02-07,"WEEK1",100,2
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",11,2013-03-11,"WEEK1",0,0
"Variable_drawdown_visit_data.xls","A & M Farms","AM-01",12,2013-03-13,"WEEK1",0,0
