"yday","observed","obj","mass.kg","DER.obj","DER.obs","DER.obj2","DER.obs2"
1,50000,50000,0.12084176952674,19239159.0265624,19239159.0265624,19239159.0265624,19239159.0265624
2,51879.3678762452,54869.8468636015,0.12084176952674,21112994.1914392,19962308.1753723,21112994.1914392,19962308.1753723
3,53758.7357524904,59739.693727203,0.12084176952674,22986829.3563159,20685457.3241822,22986829.3563159,20685457.3241822
4,55638.1036287356,64609.5405908045,0.12084176952674,24860664.5211926,21408606.4729921,24860664.5211926,21408606.4729921
5,57517.4715049808,69479.387454406,0.12084176952674,26734499.6860693,22131755.621802,26734499.6860693,22131755.621802
6,59396.839381226,74349.2343180075,0.12084176952674,28608334.850946,22854904.7706119,28608334.850946,22854904.7706119
7,61276.2072574712,79219.0811816091,0.12084176952674,30482170.0158227,23578053.9194218,30482170.0158227,23578053.9194218
8,63155.5751337164,84088.9280452106,0.12084176952674,32356005.1806995,24301203.0682316,32356005.1806995,24301203.0682316
9,65034.9430099616,88958.7749088121,0.12084176952674,34229840.3455762,25024352.2170415,34229840.3455762,25024352.2170415
10,66914.3108862068,93828.6217724136,0.12084176952674,36103675.5104529,25747501.3658514,36103675.5104529,25747501.3658514
11,68793.678762452,98698.4686360151,0.12084176952674,37977510.6753296,26470650.5146613,37977510.6753296,26470650.5146613
12,70673.0466386972,103568.315499617,0.12084176952674,39851345.8402065,27193799.6634712,39851345.8402065,27193799.6634712
13,72552.4145149424,108438.162363218,0.12084176952674,41725181.005083,27916948.8122811,41725181.005083,27916948.8122811
14,74431.7823911876,113308.00922682,0.12084176952674,43599016.1699599,28640097.961091,43599016.1699599,28640097.961091
15,76311.1502674328,118177.856090421,0.12084176952674,45472851.3348364,29363247.1099008,45472851.3348364,29363247.1099008
16,78190.518143678,123047.702954023,0.12084176952674,47346686.4997133,30086396.2587107,47346686.4997133,30086396.2587107
17,80069.8860199232,127917.549817624,0.12084176952674,49220521.6645898,30809545.4075206,49220521.6645898,30809545.4075206
18,81949.2538961684,132787.396681226,0.12084176952674,51094356.8294667,31532694.5563305,51094356.8294667,31532694.5563305
19,83828.6217724136,137657.243544827,0.12084176952674,52968191.9943433,32255843.7051404,52968191.9943433,32255843.7051404
20,85707.9896486588,142527.090408429,0.12084176952674,54842027.1592202,32978992.8539503,54842027.1592202,32978992.8539503
21,87587.357524904,147396.93727203,0.12084176952674,56715862.3240967,33702142.0027602,56715862.3240967,33702142.0027602
22,89466.7254011492,152266.784135632,0.12084176952674,58589697.4889736,34425291.1515701,58589697.4889736,34425291.1515701
23,91346.0932773944,157136.630999233,0.12084176952674,60463532.6538501,35148440.3003799,60463532.6538501,35148440.3003799
24,93225.4611536396,162006.477862835,0.12084176952674,62337367.818727,35871589.4491898,62337367.818727,35871589.4491898
25,95104.8290298848,166876.324726436,0.12084176952674,64211202.9836035,36594738.5979997,64211202.9836035,36594738.5979997
26,96984.19690613,171746.171590038,0.12084176952674,66085038.1484804,37317887.7468096,66085038.1484804,37317887.7468096
27,98863.5647823752,176616.018453639,0.12084176952674,67958873.3133569,38041036.8956195,67958873.3133569,38041036.8956195
28,100742.93265862,181485.865317241,0.12084176952674,69832708.4782338,38764186.0444292,69832708.4782338,38764186.0444292
29,102622.300534866,186355.712180842,0.12084176952674,71706543.6431104,39487335.1932394,71706543.6431104,39487335.1932394
30,104501.668411111,191225.559044444,0.12084176952674,73580378.8079873,40210484.3420492,73580378.8079873,40210484.3420492
31,106381.036287356,196095.405908045,0.12084176952674,75454213.9728638,40933633.490859,75454213.9728638,40933633.490859
32,108260.404163601,200965.252771647,0.12084176952674,77328049.1377407,41656782.6396688,77328049.1377407,41656782.6396688
33,110139.772039846,205835.099635248,0.12084176952674,79201884.3026172,42379931.7884787,79201884.3026172,42379931.7884787
34,112019.139916092,210704.94649885,0.12084176952674,81075719.4674941,43103080.9372888,81075719.4674941,43103080.9372888
35,113898.507792337,215574.793362451,0.12084176952674,82949554.6323706,43826230.0860986,82949554.6323706,43826230.0860986
36,115777.875668582,220444.640226053,0.12084176952674,84823389.7972475,44549379.2349085,84823389.7972475,44549379.2349085
37,117657.243544827,225314.487089654,0.12084176952674,86697224.962124,45272528.3837183,86697224.962124,45272528.3837183
38,119536.611421072,230184.333953256,0.12084176952674,88571060.127001,45995677.5325281,88571060.127001,45995677.5325281
39,121415.979297318,235054.180816857,0.12084176952674,90444895.2918775,46718826.6813383,90444895.2918775,46718826.6813383
40,123295.347173563,239924.027680459,0.12084176952674,92318730.4567544,47441975.8301481,92318730.4567544,47441975.8301481
41,125174.715049808,244793.87454406,0.12084176952674,94192565.6216309,48165124.9789579,94192565.6216309,48165124.9789579
42,127054.082926053,249663.721407662,0.12084176952674,96066400.7865078,48888274.1277677,96066400.7865078,48888274.1277677
43,128933.450802298,254533.568271263,0.12084176952674,97940235.9513843,49611423.2765775,97940235.9513843,49611423.2765775
44,130812.818678544,259403.415134865,0.12084176952674,99814071.1162612,50334572.4253877,99814071.1162612,50334572.4253877
45,132692.186554789,264273.261998466,0.12084176952674,101687906.281138,51057721.5741975,101687906.281138,51057721.5741975
46,134571.554431034,269143.108862068,0.12084176952674,103561741.446015,51780870.7230073,103561741.446015,51780870.7230073
