trt,yday,zday,fit,se.fit,pred,lcl,ucl,fit2,se.fit2,pred2,lcl2,ucl2,fit1,se.fit1,fit21,se.fit21,fit3,se.fit3,pred3,lcl3,ucl3
WEEK1,214,0.64,-0.34127349031576504,0.4980497003584074,0.41550016424626607,0.2079424176455448,0.6580971450450229,-1.6468510746547684,1.030366451691176,0.16153499012412767,0.023949100322412396,0.6020183022851181,-0.34127349031576504,0.4980497003584074,-1.6468510746547684,1.030366451691176,-2.665312563005333,0.9454959673015985,0.06505147692950686,0.010391672234736894,0.31554520953876025
WEEK2,214,0.64,-3.436971527422711,0.5250556826058648,0.03115978056112631,0.011128193150448693,0.08418017833805133,-1.6468510746547684,1.030366451691176,0.16153499012412767,0.023949100322412396,0.6020183022851181,-3.436971527422711,0.5250556826058648,-1.6468510746547684,1.030366451691176,-2.665312563005333,0.9454959673015985,0.06505147692950686,0.010391672234736894,0.31554520953876025
WEEK3,214,0.64,-1.664552270418346,0.5587697912978898,0.15915185488171216,0.058299605050654735,0.3665577655627983,-1.6468510746547684,1.030366451691176,0.16153499012412767,0.023949100322412396,0.6020183022851181,-1.664552270418346,0.5587697912978898,-1.6468510746547684,1.030366451691176,-2.665312563005333,0.9454959673015985,0.06505147692950686,0.010391672234736894,0.31554520953876025
WEEK4,214,0.64,-1.626908262451371,0.5744293658554938,0.16425433859207914,0.05864781624973074,0.38271280579916545,-1.6468510746547684,1.030366451691176,0.16153499012412767,0.023949100322412396,0.6020183022851181,-1.626908262451371,0.5744293658554938,-1.6468510746547684,1.030366451691176,-2.665312563005333,0.9454959673015985,0.06505147692950686,0.010391672234736894,0.31554520953876025
WEEK1,215,0.65,-0.22066323962314338,0.4909371808744089,0.44505695117062677,0.23102409896189832,0.681616623737094,-1.4900019224311132,1.0273810512052857,0.18392143887329365,0.028065045186626756,0.6375532370540588,-0.22066323962314338,0.4909371808744089,-1.4900019224311132,1.0273810512052857,-2.4959482561780284,0.9406040361383212,0.07614271090270228,0.01240520519661352,0.3509786576585751
WEEK2,215,0.65,-3.1120561273103053,0.5146196320165832,0.04261268178647753,0.015653315773047294,0.1107781833404994,-1.4900019224311132,1.0273810512052857,0.18392143887329365,0.028065045186626756,0.6375532370540588,-3.1120561273103053,0.5146196320165832,-1.4900019224311132,1.0273810512052857,-2.4959482561780284,0.9406040361383212,0.07614271090270228,0.01240520519661352,0.3509786576585751
WEEK3,215,0.65,-1.592985119816233,0.5354394683013363,0.1689643258926785,0.06513963030821238,0.3723598696444516,-1.4900019224311132,1.0273810512052857,0.18392143887329365,0.028065045186626756,0.6375532370540588,-1.592985119816233,0.5354394683013363,-1.4900019224311132,1.0273810512052857,-2.4959482561780284,0.9406040361383212,0.07614271090270228,0.01240520519661352,0.3509786576585751
WEEK4,215,0.65,-1.4774087193670518,0.546773389940009,0.18581913600898325,0.07103122885995664,0.40519578293681996,-1.4900019224311132,1.0273810512052857,0.18392143887329365,0.028065045186626756,0.6375532370540588,-1.4774087193670518,0.546773389940009,-1.4900019224311132,1.0273810512052857,-2.4959482561780284,0.9406040361383212,0.07614271090270228,0.01240520519661352,0.3509786576585751
WEEK1,216,0.66,-0.10005298909518423,0.4842825331534594,0.47500759832782324,0.25566598064483786,0.7044359979242236,-1.3328185432988775,1.0249032824790723,0.20869352728116985,0.032842907864605184,0.6719434144047168,-0.10005298909518423,0.4842825331534594,-1.3328185432988775,1.0249032824790723,-2.3262321567525412,0.9364671674973297,0.08897360184128288,0.014786168947179216,0.38857696607391207
WEEK2,216,0.66,-2.787140730785758,0.5047863811846002,0.0580230351818502,0.021951720973753506,0.1446037005788025,-1.3328185432988775,1.0249032824790723,0.20869352728116985,0.032842907864605184,0.6719434144047168,-2.787140730785758,0.5047863811846002,-1.3328185432988775,1.0249032824790723,-2.3262321567525412,0.9364671674973297,0.08897360184128288,0.014786168947179216,0.38857696607391207
